"","A","T.A","S","T.M","M"
"1","0.0000","0.0000","0.00000","0.00000","0.0000"
"2","0.9498","0.6016","0.52443","0.60220","1.4529"
"3","0.7315","0.3755","0.09782","0.38048","1.7048"
"4","0.5049","0.3423","0.46587","0.33910","0.3165"
"5","0.2291","0.1446","0.02611","0.14566","0.9406"
"6","1.2694","0.8468","0.56061","0.84803","2.4135"
"7","0.4295","0.1269","0.06496","0.12838","0.6857"
"8","0.4365","0.3058","0.45849","0.30231","0.0919"
"9","0.1525","0.0893","0.01264","0.09018","1.0112"
"10","0.8168","0.5496","0.51165","0.54626","1.1875"
"11","0.9831","0.5594","0.12129","0.57256","2.4532"
"12","1.0674","0.7130","0.52544","0.72010","1.9858"
"13","0.3430","0.1987","0.03765","0.20170","1.0123"
"14","0.6410","0.3896","0.49591","0.37291","0.4692"
"15","0.2507","0.0207","0.04641","0.01986","0.1749"
"16","0.4253","0.2997","0.45746","0.29608","0.0213"
"17","0.1754","0.1039","0.01280","0.10726","1.4141"
"18","0.6938","0.4385","0.49867","0.43065","1.0356"
"19","0.5470","0.2344","0.08225","0.22898","1.1399"
"20","0.8825","0.6364","0.50439","0.64743","1.5932"
"21","0.6410","0.4631","0.06389","0.48503","2.1452"
"22","1.2514","0.8460","0.55590","0.84902","2.4174"
"23","0.9176","0.4819","0.11465","0.50163","2.2406"
"24","0.9819","0.6627","0.51546","0.67216","1.7652"
"25","0.3766","0.2314","0.03898","0.23773","1.1692"
"26","0.7315","0.4535","0.50165","0.44563","0.7967"
"27","0.4089","0.1115","0.06701","0.09460","0.5443"
"28","0.5401","0.3575","0.47015","0.35010","0.3697"
"29","0.0743","0.0313","0.00968","0.02886","0.2408"
"30","0.5342","0.3281","0.48538","0.30986","0.1435"
"31","0.2273","0.0081","0.04425","0.00702","0.0667"
"32","0.4230","0.2983","0.45732","0.29457","0.0000"
