"","A","T.A","S","T.M","M"
"1","3.843","3.843","3.843","3.843","3.843"
"2","2.873","3.296","3.436","3.294","2.369"
"3","1.741","2.513","2.702","2.511","1.185"
"4","3.797","3.849","3.915","3.848","3.584"
"5","1.461","2.291","2.486","2.290","0.995"
"6","2.358","2.977","3.150","2.976","1.778"
"7","3.370","3.550","3.648","3.548","3.029"
"8","4.040","4.004","4.018","4.004","3.975"
"9","1.384","2.223","2.417","2.222","0.967"
"10","1.611","2.458","2.654","2.456","1.058"
"11","2.089","2.754","2.934","2.752","1.528"
"12","2.637","3.160","3.327","3.158","2.057"
"13","3.109","3.391","3.512","3.389","2.705"
"14","3.600","3.723","3.801","3.722","3.333"
"15","3.977","3.903","3.926","3.902","3.907"
"16","4.006","3.988","3.994","3.987","3.965"
"17","1.534","2.288","2.481","2.286","1.293"
"18","1.525","2.367","2.563","2.365","1.102"
"19","1.589","2.381","2.570","2.379","1.105"
"20","1.776","2.586","2.795","2.585","1.184"
"21","1.912","2.640","2.827","2.638","1.350"
"22","2.159","2.849","3.031","2.847","1.563"
"23","2.384","2.952","3.125","2.950","1.813"
"24","2.695","3.194","3.362","3.192","2.112"
"25","3.062","3.367","3.492","3.366","2.636"
"26","3.352","3.578","3.676","3.576","2.985"
"27","3.541","3.642","3.715","3.640","3.285"
"28","3.778","3.837","3.904","3.835","3.551"
"29","3.864","3.839","3.875","3.838","3.766"
"30","3.970","3.946","3.965","3.946","3.897"
"31","3.962","3.901","3.906","3.900","3.939"
"32","3.943","3.946","3.957","3.946","3.892"
