"","A","T.A","S","T.M","M"
"1","0.00000","0.00000","0.0000","0.00000","0.0000"
"2","1.91934","1.84268","1.7431","1.84268","1.9736"
"3","8.34266","7.85293","6.7619","7.85293","8.9287"
"4","0.30060","0.28182","0.2586","0.28182","0.3417"
"5","4.47782","4.14490","1.3663","4.14490","5.7182"
"6","4.68827","4.51412","3.1833","4.51412","4.8140"
"7","0.93124","0.73128","4.5069","0.73128","0.8230"
"8","0.08186","0.07307","0.1239","0.07307","0.0939"
"9","2.22941","2.07245","0.6722","2.07245","2.8795"
"10","6.69670","6.22209","2.6079","6.22209","8.1308"
"11","7.15967","6.74911","7.4868","6.74911","7.2617"
"12","3.01021","2.90052","1.8416","2.90052","3.0913"
"13","1.23148","1.16720","0.7744","1.16720","1.2782"
"14","0.50073","0.46109","0.9046","0.46109","0.5368"
"15","0.32059","0.14258","4.1059","0.14258","0.1814"
"16","0.02375","0.01889","0.1005","0.01889","0.0213"
"17","1.97683","1.84218","0.5975","1.84218","2.5600"
"18","4.13578","3.84261","1.8361","3.84261","5.3164"
"19","6.52056","5.89896","5.9873","5.89896","7.9282"
"20","8.30044","7.95566","2.6784","7.95566","9.3456"
"21","8.04383","7.75444","3.2343","7.75444","8.4992"
"22","6.00500","5.79140","3.7116","5.79140","6.2061"
"23","4.10201","3.79892","6.2478","3.79892","4.0480"
"24","2.53793","2.44750","1.5907","2.44750","2.6101"
"25","1.43929","1.38407","0.8870","1.38407","1.5016"
"26","0.93640","0.87464","1.1540","0.87464","0.9713"
"27","0.76174","0.54754","4.4237","0.54754","0.6298"
"28","0.36162","0.33795","0.2983","0.33795","0.4045"
"29","0.23311","0.20205","0.1312","0.20205","0.2551"
"30","0.14318","0.11705","0.6674","0.11705","0.1492"
"31","0.22643","0.05392","4.0561","0.05392","0.0681"
"32","0.00728","0.00354","0.0955","0.00354","0.0000"
