"","A","T.A","S","T.M","M"
"1","0.000","0.000","0.0000","0.000","0.0000"
"2","1.598","1.102","1.0978","1.102","1.9889"
"3","1.102","0.468","0.3808","0.468","1.5748"
"4","1.039","0.678","0.8431","0.678","1.8175"
"5","1.059","0.342","0.2145","0.342","1.8863"
"6","1.049","0.853","0.9869","0.853","1.1770"
"7","1.714","0.706","0.4455","0.706","3.0812"
"8","0.421","0.470","0.7349","0.470","0.2087"
"9","0.635","0.200","0.1002","0.200","1.5352"
"10","1.430","0.853","0.9989","0.853","1.8637"
"11","0.902","0.439","0.3645","0.439","1.2497"
"12","1.311","0.946","1.0041","0.946","1.4126"
"13","1.610","0.728","0.3760","0.728","2.6954"
"14","1.436","0.866","0.9533","0.866","2.7374"
"15","0.433","0.172","0.1999","0.172","0.6849"
"16","0.359","0.448","0.7248","0.448","0.0213"
"17","0.596","0.190","0.0901","0.190","1.7065"
"18","1.351","0.791","0.9486","0.791","2.0132"
"19","1.317","0.490","0.3879","0.490","2.0423"
"20","1.456","0.866","0.9776","0.866","1.7625"
"21","0.914","0.374","0.2488","0.374","1.3930"
"22","1.020","0.811","0.9730","0.811","1.1611"
"23","0.964","0.495","0.3884","0.495","1.1875"
"24","1.343","0.974","1.0022","0.974","1.5360"
"25","1.489","0.713","0.3538","0.713","2.5139"
"26","1.933","1.146","1.0905","1.146","3.0745"
"27","1.430","0.564","0.3756","0.564","2.9844"
"28","1.191","0.734","0.8700","0.734","2.1821"
"29","0.491","0.158","0.0988","0.158","1.1929"
"30","0.504","0.524","0.7954","0.524","0.4797"
"31","0.243","0.105","0.1685","0.105","0.1185"
"32","0.354","0.446","0.7240","0.446","0.0000"
