"","A","T.A","S","T.M","M"
"1","0.0000","0.0000","0.0000","0.0000","0.0000"
"2","0.6513","0.4013","0.3566","0.4013","0.9684"
"3","1.9229","1.2397","0.9889","1.2397","2.7875"
"4","0.1901","0.1107","0.1051","0.1107","0.3211"
"5","1.3480","0.6845","0.2136","0.6845","3.7021"
"6","1.1163","0.7181","0.5243","0.7181","1.6192"
"7","0.4436","0.2032","0.6749","0.2032","0.5991"
"8","0.0876","0.0543","0.0755","0.0543","0.1285"
"9","0.6341","0.3439","0.1017","0.3439","2.4840"
"10","1.8057","1.0539","0.4848","1.0539","3.4321"
"11","1.5743","1.0081","1.0410","1.0081","2.1422"
"12","0.7905","0.5028","0.3022","0.5028","1.2334"
"13","0.5049","0.2608","0.1396","0.2608","0.7678"
"14","0.3162","0.1594","0.2486","0.1594","0.4318"
"15","0.2330","0.0766","0.6062","0.0766","0.2438"
"16","0.0587","0.0374","0.0690","0.0374","0.0213"
"17","0.5571","0.3057","0.0901","0.3057","2.3544"
"18","1.2539","0.6814","0.3714","0.6814","3.8757"
"19","1.8964","0.9917","0.8866","0.9917","3.8602"
"20","1.9019","1.3037","0.4485","1.3037","3.1370"
"21","1.6891","1.1399","0.4508","1.1399","2.4550"
"22","1.3222","0.8866","0.5920","0.8866","1.8965"
"23","1.0192","0.6030","0.8702","0.6030","1.4345"
"24","0.7038","0.4518","0.2746","0.4518","1.1101"
"25","0.4694","0.2959","0.1453","0.2959","0.8468"
"26","0.4441","0.2490","0.2876","0.2490","0.6683"
"27","0.4305","0.1618","0.6666","0.1618","0.4901"
"28","0.2154","0.1213","0.1104","0.1213","0.3553"
"29","0.2027","0.0619","0.0397","0.0619","0.2834"
"30","0.1866","0.0837","0.2081","0.0837","0.2097"
"31","0.1751","0.0415","0.5904","0.0415","0.0851"
"32","0.0540","0.0348","0.0682","0.0348","0.0000"
