"","A","T.A","S","T.M","M"
"1","0.0000","0.0000","0.0000","0.0000","0.0000"
"2","0.3758","0.1483","0.1304","0.1483","0.7387"
"3","0.8652","0.2857","0.1978","0.2857","1.7899"
"4","0.1290","0.0665","0.0663","0.0665","0.2823"
"5","0.6879","0.1591","0.0468","0.1591","2.5480"
"6","0.5825","0.2203","0.1574","0.2203","1.1287"
"7","0.2735","0.0778","0.1454","0.0778","0.4896"
"8","0.0715","0.0515","0.0578","0.0515","0.0924"
"9","0.3203","0.0807","0.0204","0.0807","2.1850"
"10","0.8399","0.2849","0.1500","0.2849","2.1991"
"11","0.7496","0.2387","0.1992","0.2387","1.4056"
"12","0.4342","0.1704","0.1083","0.1704","0.9174"
"13","0.2939","0.0640","0.0360","0.0640","0.6021"
"14","0.2234","0.0901","0.1104","0.0901","0.3839"
"15","0.1526","0.0418","0.1275","0.0418","0.1709"
"16","0.0597","0.0485","0.0566","0.0485","0.0213"
"17","0.2816","0.0719","0.0174","0.0719","2.2510"
"18","0.6653","0.2080","0.1288","0.2080","2.8506"
"19","0.9356","0.2517","0.1874","0.2517","2.5054"
"20","0.8118","0.3207","0.1225","0.3207","2.0066"
"21","0.7317","0.2354","0.0757","0.2354","1.5907"
"22","0.6423","0.2416","0.1624","0.2416","1.2648"
"23","0.5408","0.1755","0.1808","0.1755","1.0291"
"24","0.3884","0.1546","0.1005","0.1546","0.8356"
"25","0.2401","0.0713","0.0321","0.0713","0.6609"
"26","0.2784","0.1108","0.1178","0.1108","0.5369"
"27","0.2953","0.0689","0.1498","0.0689","0.4263"
"28","0.1459","0.0708","0.0700","0.0708","0.3212"
"29","0.1352","0.0152","0.0143","0.0152","0.2253"
"30","0.1425","0.0671","0.0992","0.0671","0.1420"
"31","0.1305","0.0358","0.1247","0.0358","0.0669"
"32","0.0574","0.0479","0.0565","0.0479","0.0000"
