"","A","T.A","S","T.M","M"
"1","10.000","10.000","10.000","10.000","10.000"
"2"," 7.071"," 7.071"," 7.071"," 7.071"," 7.071"
"3"," 5.000"," 5.000"," 5.000"," 5.000"," 5.000"
"4"," 8.660"," 8.660"," 8.660"," 8.660"," 8.660"
"5"," 3.394"," 3.394"," 3.394"," 3.394"," 3.394"
"6"," 6.042"," 6.042"," 6.042"," 6.042"," 6.042"
"7"," 7.842"," 7.842"," 7.842"," 7.842"," 7.842"
"8"," 9.301"," 9.301"," 9.301"," 9.301"," 9.301"
"9"," 2.400"," 2.400"," 2.400"," 2.400"," 2.400"
"10"," 4.388"," 4.388"," 4.388"," 4.388"," 4.388"
"11"," 5.545"," 5.545"," 5.545"," 5.545"," 5.545"
"12"," 6.652"," 6.652"," 6.652"," 6.652"," 6.652"
"13"," 7.467"," 7.467"," 7.467"," 7.467"," 7.467"
"14"," 8.322"," 8.322"," 8.322"," 8.322"," 8.322"
"15"," 8.986"," 8.986"," 8.986"," 8.986"," 8.986"
"16"," 9.708"," 9.708"," 9.708"," 9.708"," 9.708"
"17"," 1.697"," 1.697"," 1.697"," 1.697"," 1.697"
"18"," 2.939"," 2.939"," 2.939"," 2.939"," 2.939"
"19"," 4.048"," 4.048"," 4.048"," 4.048"," 4.048"
"20"," 4.704"," 4.704"," 4.704"," 4.704"," 4.704"
"21"," 5.280"," 5.280"," 5.280"," 5.280"," 5.280"
"22"," 5.799"," 5.799"," 5.799"," 5.799"," 5.799"
"23"," 6.433"," 6.433"," 6.433"," 6.433"," 6.433"
"24"," 6.865"," 6.865"," 6.865"," 6.865"," 6.865"
"25"," 7.272"," 7.272"," 7.272"," 7.272"," 7.272"
"26"," 7.657"," 7.657"," 7.657"," 7.657"," 7.657"
"27"," 8.147"," 8.147"," 8.147"," 8.147"," 8.147"
"28"," 8.493"," 8.493"," 8.493"," 8.493"," 8.493"
"29"," 8.825"," 8.825"," 8.825"," 8.825"," 8.825"
"30"," 9.145"," 9.145"," 9.145"," 9.145"," 9.145"
"31"," 9.559"," 9.559"," 9.559"," 9.559"," 9.559"
"32"," 9.855"," 9.855"," 9.855"," 9.855"," 9.855"
