"","A","T.A","S","T.M","M"
"1","0.0000","0.000","0.000","0.000","0.0000"
"2","6.6734","6.261","6.230","6.261","6.7919"
"3","7.4038","6.503","6.374","6.503","7.5780"
"4","1.9676","2.065","2.119","2.065","2.0473"
"5","5.7804","4.834","4.580","4.834","6.0335"
"6","7.5693","7.159","7.106","7.159","7.6870"
"7","4.5518","3.801","3.792","3.801","4.6971"
"8","0.4029","0.885","0.982","0.885","0.3970"
"9","3.9293","2.977","2.749","2.978","4.3327"
"10","7.0969","6.746","6.590","6.747","7.2472"
"11","7.5987","6.660","6.558","6.659","7.7588"
"12","7.3235","6.813","6.677","6.813","7.4515"
"13","5.6805","4.703","4.637","4.701","5.8631"
"14","3.2017","3.173","3.297","3.173","3.2889"
"15","0.9789","0.833","0.944","0.832","1.0494"
"16","0.1243","0.703","0.811","0.703","0.0604"
"17","2.1771","1.572","1.426","1.572","2.5769"
"18","5.1387","4.802","4.698","4.804","5.3873"
"19","6.8232","5.940","5.746","5.941","7.0351"
"20","7.2716","6.814","6.546","6.814","7.4278"
"21","7.5118","6.475","6.285","6.472","7.7007"
"22","7.6222","7.222","7.160","7.222","7.7384"
"23","7.5196","6.532","6.381","6.532","7.6813"
"24","7.0095","6.469","6.287","6.469","7.1531"
"25","6.1688","5.080","4.861","5.080","6.3636"
"26","5.1882","4.910","4.975","4.910","5.2937"
"27","3.7909","3.145","3.247","3.145","3.9262"
"28","2.5614","2.564","2.630","2.564","2.6483"
"29","1.3961","1.060","1.167","1.058","1.5092"
"30","0.6808","1.194","1.425","1.194","0.6791"
"31","0.1821","0.284","0.431","0.283","0.1595"
"32","0.0867","0.678","0.788","0.678","0.0103"
