"","A","T.A","S","T.M","M"
"1"," 0.0000"," 0.0000"," 0.00000"," 0.0000"," 0.0000"
"2"," 3.2820"," 3.2822"," 3.17833"," 3.2822"," 3.2831"
"3","19.6420","19.6446","18.14114","19.6446","19.6457"
"4"," 0.3977"," 0.3979"," 0.35999"," 0.3979"," 0.3985"
"5","11.4747","11.5039"," 8.39462","11.5039","11.5137"
"6"," 9.2216"," 9.2222"," 8.48411"," 9.2222"," 9.2225"
"7"," 1.2032"," 1.2035"," 1.13073"," 1.2035"," 1.2041"
"8"," 0.1309"," 0.1311"," 0.09886"," 0.1311"," 0.1313"
"9"," 5.7024"," 5.7024"," 4.19040"," 5.7519"," 5.7600"
"10","18.6155","18.6155","14.00488","18.6601","18.6641"
"11","14.6334","14.6334","13.16384","14.6390","14.6397"
"12"," 5.3710"," 5.3710"," 5.02755"," 5.3731"," 5.3738"
"13"," 1.9917"," 1.9917"," 1.89225"," 1.9945"," 1.9953"
"14"," 0.6673"," 0.6673"," 0.60653"," 0.6697"," 0.6702"
"15"," 0.2340"," 0.2340"," 0.19066"," 0.2355"," 0.2359"
"16"," 0.0426"," 0.0426"," 0.03145"," 0.0430"," 0.0430"
"17"," 2.8506"," 2.8506"," 2.07130"," 2.8760"," 2.8800"
"18"," 8.5519"," 8.5519"," 6.21389"," 8.6279"," 8.6400"
"19","16.1853","16.1853","11.78337","16.2656","16.2714"
"20","19.9877","19.9877","15.79648","20.0163","20.0186"
"21","17.5481","17.5481","15.37604","17.5588","17.5595"
"22","11.6903","11.6903","10.58211","11.6937","11.6943"
"23"," 6.8493"," 6.8493"," 6.33393"," 6.8515"," 6.8519"
"24"," 4.1998"," 4.1998"," 3.93941"," 4.2017"," 4.2026"
"25"," 2.5502"," 2.5502"," 2.40736"," 2.5525"," 2.5537"
"26"," 1.5400"," 1.5400"," 1.45276"," 1.5428"," 1.5435"
"27"," 0.8614"," 0.8614"," 0.79387"," 0.8641"," 0.8647"
"28"," 0.5132"," 0.5132"," 0.45436"," 0.5156"," 0.5162"
"29"," 0.3038"," 0.3038"," 0.25372"," 0.3056"," 0.3061"
"30"," 0.1745"," 0.1745"," 0.13602"," 0.1760"," 0.1763"
"31"," 0.0777"," 0.0777"," 0.05689"," 0.0783"," 0.0785"
"32"," 0.0102"," 0.0102"," 0.00742"," 0.0103"," 0.0103"
