"","A","T.A","S","T.M","M"
"1"," 0.00000"," 0.00000"," 0.00000"," 0.0000"," 0.000000"
"2","-0.34184","-0.35089","-0.14086","-0.3592","-0.310561"
"3","-0.86796","-0.87532","-0.30918","-0.9100","-1.012280"
"4","-0.11725","-0.12018","-0.05373","-0.1221","-0.066280"
"5","-1.10733","-1.13889","-0.22820","-1.2232","-1.659382"
"6","-0.56103","-0.56129","-0.19054","-0.5777","-0.568706"
"7","-0.21946","-0.22189","-0.08662","-0.2257","-0.158620"
"8","-0.05315","-0.05332","-0.02281","-0.0532","-0.021338"
"9","-0.70288","-0.69160","-0.14888","-0.8838","-1.566080"
"10","-0.98214","-0.97732","-0.26757","-1.1330","-1.344718"
"11","-0.65268","-0.65266","-0.21255","-0.7220","-0.753752"
"12","-0.41978","-0.42269","-0.14411","-0.4555","-0.415579"
"13","-0.27139","-0.27624","-0.09949","-0.2915","-0.224080"
"14","-0.15708","-0.16138","-0.06030","-0.1665","-0.101621"
"15","-0.08247","-0.08504","-0.03244","-0.0866","-0.038607"
"16","-0.01857","-0.01913","-0.00744","-0.0189","-0.006238"
"17","-0.49565","-0.48751","-0.09905","-0.6253","-1.230026"
"18","-0.85713","-0.84360","-0.17143","-1.0822","-1.683616"
"19","-1.03961","-1.03363","-0.23578","-1.2334","-1.524673"
"20","-0.89419","-0.89034","-0.25238","-1.0201","-1.169920"
"21","-0.72619","-0.72525","-0.22115","-0.8112","-0.872853"
"22","-0.58646","-0.58666","-0.18421","-0.6459","-0.654646"
"23","-0.46528","-0.46713","-0.15063","-0.5059","-0.474978"
"24","-0.37894","-0.38224","-0.12627","-0.4086","-0.359394"
"25","-0.30315","-0.30741","-0.10481","-0.3258","-0.265754"
"26","-0.24237","-0.24660","-0.08551","-0.2585","-0.190669"
"27","-0.18210","-0.18586","-0.06570","-0.1919","-0.126035"
"28","-0.13732","-0.14065","-0.05039","-0.1441","-0.083322"
"29","-0.09995","-0.10271","-0.03738","-0.1057","-0.055211"
"30","-0.06693","-0.06822","-0.02534","-0.0687","-0.029394"
"31","-0.03244","-0.03305","-0.01289","-0.0328","-0.011471"
"32","-0.00417","-0.00421","-0.00198","-0.0041"," 0.000102"
"33","-0.46736","-0.45968","-0.09264","-0.5898","-1.192000"
"34","-0.67282","-0.66284","-0.13358","-0.8506","-1.563003"
"35","-0.83425","-0.82130","-0.16550","-1.0540","-1.722452"
"36","-0.96151","-0.95413","-0.19237","-1.2244","-1.714447"
"37","-1.02624","-1.02075","-0.21557","-1.2530","-1.611307"
"38","-1.00881","-1.00447","-0.23648","-1.1865","-1.443202"
"39","-0.94028","-0.93682","-0.24935","-1.0832","-1.268888"
"40","-0.85497","-0.85171","-0.24444","-0.9715","-1.101952"
"41","-0.75972","-0.75793","-0.22806","-0.8511","-0.925361"
"42","-0.68204","-0.68116","-0.20926","-0.7575","-0.798697"
"43","-0.61071","-0.61106","-0.19084","-0.6750","-0.691803"
"44","-0.55024","-0.55064","-0.17382","-0.6031","-0.599654"
"45","-0.49525","-0.49579","-0.15814","-0.5392","-0.517984"
"46","-0.44571","-0.44836","-0.14481","-0.4850","-0.449656"
"47","-0.40299","-0.40572","-0.13174","-0.4367","-0.393377"
"48","-0.36148","-0.36513","-0.12087","-0.3898","-0.337802"
"49","-0.31721","-0.32133","-0.10804","-0.3415","-0.283482"
"50","-0.28266","-0.28715","-0.09796","-0.3034","-0.236562"
"51","-0.25304","-0.25720","-0.08767","-0.2703","-0.200698"
"52","-0.22432","-0.22868","-0.07860","-0.2382","-0.169556"
"53","-0.19673","-0.20085","-0.07022","-0.2080","-0.141606"
"54","-0.17276","-0.17662","-0.06207","-0.1818","-0.116045"
"55","-0.15079","-0.15441","-0.05443","-0.1594","-0.096694"
"56","-0.12893","-0.13290","-0.04735","-0.1364","-0.076853"
"57","-0.10531","-0.10845","-0.03922","-0.1109","-0.057874"
"58","-0.08865","-0.09130","-0.03296","-0.0936","-0.045235"
"59","-0.07188","-0.07375","-0.02699","-0.0745","-0.032439"
"60","-0.05665","-0.05767","-0.02106","-0.0581","-0.022847"
"61","-0.04212","-0.04301","-0.01564","-0.0427","-0.017441"
"62","-0.02754","-0.02808","-0.01108","-0.0275","-0.009999"
"63","-0.01369","-0.01388","-0.00524","-0.0134","-0.004466"
"64"," 0.00000"," 0.00000"," 0.00000"," 0.0000"," 0.000000"
