"","A","T.A","S","T.M","M"
"1","1.978","1.978","1.978","1.978","1.978"
"2","1.911","1.469","1.460","1.469","2.059"
"3","1.540","1.045","1.032","1.045","1.676"
"4","1.921","1.287","1.271","1.287","2.120"
"5","1.110","0.729","0.717","0.729","1.219"
"6","1.713","1.121","1.102","1.121","1.899"
"7","1.896","1.237","1.217","1.237","2.111"
"8","1.849","1.200","1.179","1.200","2.069"
"9","0.801","0.517","0.507","0.517","0.890"
"10","1.368","0.886","0.868","0.886","1.514"
"11","1.619","1.048","1.026","1.048","1.803"
"12","1.798","1.160","1.138","1.160","2.005"
"13","1.870","1.207","1.185","1.207","2.089"
"14","1.901","1.223","1.200","1.223","2.131"
"15","1.872","1.203","1.180","1.203","2.102"
"16","1.804","1.157","1.133","1.157","2.028"
"17","0.571","0.365","0.357","0.365","0.636"
"18","0.968","0.622","0.609","0.622","1.072"
"19","1.279","0.828","0.809","0.828","1.416"
"20","1.439","0.930","0.908","0.930","1.603"
"21","1.562","1.007","0.984","1.007","1.741"
"22","1.660","1.071","1.048","1.071","1.852"
"23","1.767","1.138","1.114","1.138","1.974"
"24","1.819","1.170","1.147","1.170","2.035"
"25","1.856","1.194","1.170","1.194","2.077"
"26","1.876","1.206","1.183","1.206","2.101"
"27","1.899","1.219","1.195","1.219","2.130"
"28","1.895","1.214","1.190","1.214","2.128"
"29","1.880","1.205","1.181","1.205","2.114"
"30","1.854","1.188","1.164","1.188","2.086"
"31","1.822","1.166","1.142","1.166","2.052"
"32","1.778","1.138","1.114","1.138","2.003"
"33","0.542","0.343","0.335","0.343","0.604"
"34","0.780","0.498","0.488","0.498","0.869"
"35","0.946","0.605","0.591","0.605","1.051"
"36","1.082","0.697","0.680","0.697","1.201"
"37","1.192","0.767","0.750","0.767","1.319"
"38","1.285","0.830","0.811","0.830","1.425"
"39","1.373","0.885","0.865","0.885","1.527"
"40","1.446","0.931","0.909","0.931","1.611"
"41","1.558","1.002","0.979","1.002","1.736"
"42","1.611","1.038","1.014","1.038","1.799"
"43","1.657","1.067","1.043","1.067","1.851"
"44","1.696","1.093","1.069","1.093","1.896"
"45","1.733","1.114","1.091","1.114","1.938"
"46","1.763","1.132","1.109","1.132","1.971"
"47","1.791","1.150","1.127","1.150","2.004"
"48","1.815","1.165","1.142","1.165","2.032"
"49","1.858","1.194","1.170","1.194","2.081"
"50","1.869","1.200","1.176","1.200","2.095"
"51","1.880","1.207","1.183","1.207","2.107"
"52","1.889","1.212","1.188","1.212","2.119"
"53","1.890","1.213","1.188","1.213","2.121"
"54","1.891","1.211","1.187","1.211","2.124"
"55","1.889","1.210","1.185","1.210","2.124"
"56","1.884","1.206","1.181","1.206","2.117"
"57","1.887","1.209","1.184","1.209","2.123"
"58","1.876","1.201","1.176","1.201","2.112"
"59","1.863","1.191","1.166","1.191","2.097"
"60","1.848","1.181","1.156","1.181","2.082"
"61","1.829","1.169","1.144","1.169","2.062"
"62","1.809","1.156","1.131","1.156","2.040"
"63","1.788","1.142","1.117","1.142","2.016"
"64","1.763","1.126","1.102","1.126","1.988"
