"","A","T.A","S","T.M","M"
"1","0.00000","0.00000","0.00000","0.00000","0.00000"
"2","1.76118","1.48272","1.39908","1.48303","1.85307"
"3","2.25848","1.75166","1.52078","1.75212","2.44812"
"4","0.56079","0.42249","0.37961","0.42269","0.60407"
"5","1.68574","1.25469","0.93287","1.25610","1.96513"
"6","2.15738","1.66712","1.26439","1.66737","2.34377"
"7","1.12506","0.83522","0.65125","0.83547","1.23382"
"8","0.16906","0.13111","0.10986","0.13120","0.17013"
"9","1.09824","0.81424","0.58192","0.81536","1.35304"
"10","2.06557","1.58418","1.11824","1.58513","2.33785"
"11","2.22827","1.73778","1.24102","1.73819","2.44794"
"12","1.94491","1.48939","1.08467","1.48966","2.13009"
"13","1.40552","1.05507","0.77920","1.05544","1.54803"
"14","0.80185","0.59498","0.44741","0.59521","0.88591"
"15","0.33883","0.25464","0.19977","0.25481","0.36186"
"16","0.03958","0.03208","0.02875","0.03208","0.03115"
"17","0.65150","0.49226","0.35978","0.49299","0.79332"
"18","1.42113","1.06190","0.73602","1.06331","1.72209"
"19","1.94796","1.48470","1.03035","1.48576","2.24213"
"20","2.14292","1.65980","1.15483","1.66044","2.40244"
"21","2.22665","1.73865","1.21800","1.73907","2.46333"
"22","2.19365","1.71042","1.21026","1.71076","2.41101"
"23","2.05152","1.58430","1.13308","1.58454","2.24941"
"24","1.81799","1.38569","1.00027","1.38594","1.99681"
"25","1.54457","1.16701","0.84794","1.16738","1.70083"
"26","1.25709","0.94086","0.68899","0.94113","1.38903"
"27","0.93545","0.69496","0.51424","0.69523","1.03647"
"28","0.67057","0.49817","0.37339","0.49838","0.74136"
"29","0.43904","0.32733","0.25008","0.32751","0.47676"
"30","0.24819","0.18934","0.14984","0.18951","0.26056"
"31","0.08640","0.06893","0.05765","0.06892","0.07817"
"32","0.00698","0.00648","0.00638","0.00647","0.00402"
"33","0.52368","0.40736","0.30464","0.40800","0.60736"
"34","1.01212","0.75619","0.53218","0.75725","1.25622"
"35","1.36411","1.01822","0.70381","1.01958","1.66936"
"36","1.62455","1.22128","0.83811","1.22288","1.93633"
"37","1.81771","1.37717","0.94731","1.37840","2.12016"
"38","1.95618","1.49699","1.03348","1.49803","2.24281"
"39","2.06269","1.59061","1.09840","1.59146","2.33325"
"40","2.13675","1.65954","1.14735","1.66009","2.39138"
"41","2.24182","1.75150","1.21590","1.75198","2.48768"
"42","2.24537","1.75600","1.22596","1.75644","2.47809"
"43","2.22011","1.73440","1.21675","1.73476","2.44278"
"44","2.17319","1.69320","1.19434","1.69350","2.38781"
"45","2.09749","1.62608","1.15238","1.62638","2.30214"
"46","2.00046","1.54243","1.09746","1.54271","2.19698"
"47","1.88724","1.44578","1.03416","1.44600","2.07453"
"48","1.76378","1.34221","0.96340","1.34247","1.93899"
"49","1.59725","1.20932","0.87184","1.20966","1.75894"
"50","1.45606","1.09651","0.79404","1.09685","1.60739"
"51","1.31056","0.98274","0.71470","0.98305","1.44897"
"52","1.16552","0.87015","0.63552","0.87044","1.29066"
"53","1.02450","0.76248","0.55868","0.76278","1.13682"
"54","0.88487","0.65738","0.48453","0.65759","0.98151"
"55","0.75261","0.55960","0.41420","0.55984","0.83439"
"56","0.62648","0.46553","0.34823","0.46575","0.69217"
"57","0.47482","0.35394","0.26841","0.35416","0.51904"
"58","0.37091","0.27788","0.21329","0.27804","0.39996"
"59","0.27673","0.20993","0.16433","0.21012","0.29408"
"60","0.19344","0.14886","0.11818","0.14901","0.19827"
"61","0.12458","0.09814","0.08049","0.09817","0.12137"
"62","0.06884","0.05537","0.04703","0.05535","0.05987"
"63","0.02720","0.02210","0.02026","0.02209","0.02030"
"64","0.00000","0.00000","0.00000","0.00000","0.00000"
