"","A","T.A","S","T.M","M"
"1"," 0.00000"," 0.00000"," 0.000000"," 0.00000"," 0.000000"
"2","-0.75434","-0.31571","-0.251843","-0.31579","-1.099777"
"3","-1.01182","-0.35340","-0.188440","-0.35392","-1.740240"
"4","-0.18652","-0.06734","-0.042424","-0.06741","-0.217430"
"5","-0.53350","-0.22237","-0.058718","-0.22322","-0.983953"
"6","-0.77228","-0.31520","-0.075918","-0.31594","-1.657390"
"7","-0.33814","-0.13018","-0.037112","-0.13034","-0.580569"
"8","-0.06171","-0.02444","-0.008520","-0.02449","-0.049026"
"9","-0.31968","-0.14120","-0.032800","-0.14128","-0.514000"
"10","-0.69342","-0.30590","-0.061661","-0.30717","-1.495984"
"11","-0.79482","-0.34697","-0.067941","-0.34813","-1.792468"
"12","-0.64339","-0.26509","-0.055092","-0.26539","-1.389579"
"13","-0.42477","-0.16917","-0.038800","-0.16947","-0.823173"
"14","-0.23014","-0.09149","-0.023783","-0.09165","-0.356917"
"15","-0.10295","-0.04083","-0.011627","-0.04095","-0.111672"
"16","-0.01898","-0.00785","-0.002396","-0.00789","-0.010059"
"17","-0.20523","-0.09504","-0.021553","-0.09520","-0.293478"
"18","-0.41080","-0.18283","-0.037918","-0.18332","-0.749675"
"19","-0.61890","-0.27590","-0.054442","-0.27696","-1.312775"
"20","-0.73157","-0.32884","-0.061149","-0.33029","-1.638076"
"21","-0.78019","-0.34963","-0.063809","-0.35103","-1.792733"
"22","-0.76169","-0.33328","-0.062084","-0.33423","-1.747461"
"23","-0.68132","-0.28887","-0.056434","-0.28939","-1.527980"
"24","-0.57749","-0.23933","-0.048302","-0.23964","-1.247814"
"25","-0.46812","-0.19065","-0.040515","-0.19094","-0.958554"
"26","-0.36748","-0.14906","-0.033262","-0.14931","-0.696773"
"27","-0.26602","-0.10764","-0.025528","-0.10784","-0.446542"
"28","-0.19116","-0.07738","-0.019368","-0.07754","-0.282074"
"29","-0.12947","-0.05213","-0.013531","-0.05227","-0.161107"
"30","-0.08124","-0.03325","-0.009167","-0.03329","-0.077556"
"31","-0.03509","-0.01387","-0.004170","-0.01390","-0.023089"
"32","-0.00396","-0.00144","-0.000498","-0.00145","-0.000224"
"33","-0.19584","-0.09312","-0.020800","-0.09344","-0.256640"
"34","-0.28932","-0.13371","-0.028914","-0.13381","-0.455229"
"35","-0.38711","-0.17516","-0.036350","-0.17559","-0.691070"
"36","-0.47648","-0.21332","-0.042816","-0.21423","-0.926829"
"37","-0.55312","-0.24864","-0.049387","-0.24981","-1.152693"
"38","-0.62193","-0.28185","-0.053838","-0.28325","-1.356463"
"39","-0.68095","-0.30903","-0.057556","-0.31068","-1.527866"
"40","-0.72618","-0.33023","-0.060357","-0.33200","-1.656935"
"41","-0.77231","-0.35187","-0.063098","-0.35362","-1.796820"
"42","-0.77785","-0.35187","-0.063282","-0.35337","-1.813559"
"43","-0.76512","-0.34131","-0.062288","-0.34257","-1.780798"
"44","-0.73741","-0.32315","-0.059819","-0.32415","-1.704847"
"45","-0.69776","-0.30213","-0.057216","-0.30283","-1.598944"
"46","-0.65251","-0.27891","-0.053948","-0.27944","-1.474137"
"47","-0.60234","-0.25434","-0.049618","-0.25473","-1.333203"
"48","-0.54830","-0.22875","-0.046008","-0.22909","-1.190481"
"49","-0.48151","-0.19862","-0.041444","-0.19898","-1.007924"
"50","-0.43102","-0.17629","-0.037565","-0.17670","-0.871821"
"51","-0.38062","-0.15617","-0.034248","-0.15648","-0.740742"
"52","-0.33430","-0.13642","-0.030591","-0.13665","-0.620605"
"53","-0.29078","-0.11844","-0.027437","-0.11867","-0.512300"
"54","-0.24866","-0.10147","-0.024107","-0.10166","-0.414137"
"55","-0.21144","-0.08587","-0.020942","-0.08606","-0.330270"
"56","-0.17709","-0.07255","-0.018064","-0.07276","-0.258496"
"57","-0.13685","-0.05565","-0.014263","-0.05581","-0.178606"
"58","-0.10976","-0.04465","-0.011740","-0.04481","-0.128019"
"59","-0.08732","-0.03588","-0.009692","-0.03597","-0.087735"
"60","-0.06647","-0.02762","-0.007832","-0.02759","-0.056870"
"61","-0.04711","-0.01908","-0.005807","-0.01902","-0.035900"
"62","-0.02883","-0.01135","-0.003416","-0.01135","-0.017768"
"63","-0.01414","-0.00538","-0.001721","-0.00540","-0.006453"
"64"," 0.00000"," 0.00000"," 0.000000"," 0.00000"," 0.000000"
