"","A","T.A","S","T.M","M"
"1","10.553","10.553","10.553","10.553","10.553"
"2","12.275","12.151","12.148","12.151","12.281"
"3"," 9.500"," 9.299"," 9.288"," 9.299"," 9.508"
"4","12.291","12.056","12.052","12.056","12.300"
"5"," 5.868"," 5.685"," 5.670"," 5.685"," 5.878"
"6","11.159","10.899","10.884","10.899","11.168"
"7","12.463","12.186","12.177","12.186","12.473"
"8","11.555","11.298","11.292","11.298","11.565"
"9"," 3.564"," 3.402"," 3.389"," 3.402"," 3.575"
"10"," 8.277"," 8.031"," 8.009"," 8.031"," 8.287"
"11","10.454","10.186","10.164","10.186","10.466"
"12","11.984","11.693","11.673","11.693","11.995"
"13","12.425","12.129","12.116","12.129","12.435"
"14","12.525","12.228","12.217","12.228","12.536"
"15","11.967","11.685","11.677","11.685","11.978"
"16","11.114","10.847","10.839","10.847","11.126"
"17"," 2.117"," 1.998"," 1.990"," 1.998"," 2.128"
"18"," 4.783"," 4.597"," 4.577"," 4.597"," 4.796"
"19"," 7.528"," 7.290"," 7.267"," 7.290"," 7.540"
"20"," 8.924"," 8.660"," 8.639"," 8.660"," 8.936"
"21"," 9.978"," 9.706"," 9.685"," 9.706"," 9.991"
"22","10.828","10.547","10.525","10.547","10.839"
"23","11.789","11.492","11.470","11.492","11.800"
"24","12.138","11.835","11.817","11.835","12.149"
"25","12.358","12.055","12.039","12.055","12.368"
"26","12.461","12.158","12.145","12.158","12.472"
"27","12.606","12.303","12.291","12.303","12.618"
"28","12.412","12.114","12.103","12.114","12.424"
"29","12.153","11.862","11.853","11.862","12.165"
"30","11.759","11.476","11.468","11.476","11.770"
"31","11.373","11.096","11.088","11.096","11.385"
"32","10.842","10.574","10.567","10.574","10.854"
"33"," 2.093"," 1.964"," 1.956"," 1.964"," 2.107"
"34"," 3.463"," 3.287"," 3.275"," 3.287"," 3.477"
"35"," 4.686"," 4.496"," 4.477"," 4.496"," 4.700"
"36"," 5.779"," 5.569"," 5.544"," 5.569"," 5.793"
"37"," 6.741"," 6.514"," 6.490"," 6.514"," 6.753"
"38"," 7.575"," 7.337"," 7.315"," 7.337"," 7.586"
"39"," 8.288"," 8.036"," 8.015"," 8.036"," 8.299"
"40"," 8.922"," 8.662"," 8.640"," 8.662"," 8.935"
"41","10.015"," 9.740"," 9.718"," 9.740","10.029"
"42","10.480","10.202","10.180","10.202","10.493"
"43","10.891","10.603","10.580","10.603","10.903"
"44","11.220","10.927","10.904","10.927","11.233"
"45","11.476","11.184","11.160","11.184","11.488"
"46","11.705","11.410","11.389","11.410","11.716"
"47","11.890","11.593","11.573","11.593","11.901"
"48","12.060","11.761","11.744","11.761","12.072"
"49","12.453","12.146","12.130","12.146","12.464"
"50","12.523","12.217","12.202","12.217","12.535"
"51","12.556","12.250","12.236","12.250","12.568"
"52","12.566","12.262","12.248","12.262","12.578"
"53","12.547","12.242","12.229","12.242","12.559"
"54","12.491","12.189","12.177","12.189","12.504"
"55","12.384","12.084","12.072","12.084","12.397"
"56","12.285","11.990","11.979","11.990","12.297"
"57","12.285","11.991","11.982","11.991","12.297"
"58","12.112","11.820","11.811","11.820","12.124"
"59","11.909","11.620","11.612","11.620","11.922"
"60","11.694","11.410","11.402","11.410","11.706"
"61","11.472","11.191","11.182","11.191","11.483"
"62","11.229","10.954","10.946","10.954","11.241"
"63","10.964","10.694","10.686","10.694","10.977"
"64","10.679","10.416","10.408","10.416","10.691"
