"","A","T.A","S","T.M","M"
"1","-1.765","-1.765","-1.765","-1.765","-1.765"
"2","-1.805","-1.342","-1.334","-1.342","-1.964"
"3","-1.583","-1.029","-1.015","-1.029","-1.764"
"4","-1.738","-1.134","-1.122","-1.134","-1.931"
"5","-1.229","-0.761","-0.744","-0.761","-1.417"
"6","-1.678","-1.054","-1.034","-1.054","-1.898"
"7","-1.737","-1.095","-1.078","-1.095","-1.957"
"8","-1.652","-1.043","-1.027","-1.043","-1.861"
"9","-0.954","-0.572","-0.556","-0.572","-1.119"
"10","-1.443","-0.889","-0.866","-0.889","-1.664"
"11","-1.616","-1.001","-0.977","-1.002","-1.844"
"12","-1.719","-1.069","-1.046","-1.069","-1.955"
"13","-1.729","-1.076","-1.056","-1.076","-1.963"
"14","-1.724","-1.075","-1.057","-1.075","-1.952"
"15","-1.680","-1.048","-1.029","-1.048","-1.902"
"16","-1.605","-1.002","-0.984","-1.002","-1.818"
"17","-0.720","-0.420","-0.408","-0.420","-0.863"
"18","-1.100","-0.662","-0.643","-0.663","-1.287"
"19","-1.377","-0.839","-0.815","-0.839","-1.599"
"20","-1.493","-0.916","-0.891","-0.916","-1.718"
"21","-1.578","-0.972","-0.946","-0.972","-1.805"
"22","-1.640","-1.010","-0.984","-1.010","-1.872"
"23","-1.703","-1.055","-1.030","-1.055","-1.942"
"24","-1.721","-1.065","-1.042","-1.065","-1.963"
"25","-1.723","-1.068","-1.046","-1.068","-1.962"
"26","-1.726","-1.069","-1.049","-1.069","-1.962"
"27","-1.727","-1.071","-1.051","-1.071","-1.960"
"28","-1.714","-1.063","-1.043","-1.063","-1.946"
"29","-1.691","-1.048","-1.028","-1.048","-1.917"
"30","-1.661","-1.029","-1.009","-1.029","-1.883"
"31","-1.625","-1.007","-0.988","-1.008","-1.844"
"32","-1.580","-0.981","-0.962","-0.981","-1.793"
"33","-0.702","-0.408","-0.397","-0.408","-0.851"
"34","-0.931","-0.549","-0.533","-0.549","-1.102"
"35","-1.089","-0.650","-0.631","-0.650","-1.278"
"36","-1.209","-0.729","-0.707","-0.729","-1.412"
"37","-1.304","-0.791","-0.768","-0.791","-1.521"
"38","-1.375","-0.836","-0.813","-0.837","-1.596"
"39","-1.440","-0.881","-0.857","-0.881","-1.664"
"40","-1.489","-0.914","-0.889","-0.914","-1.714"
"41","-1.578","-0.971","-0.944","-0.971","-1.811"
"42","-1.612","-0.991","-0.964","-0.991","-1.845"
"43","-1.641","-1.009","-0.983","-1.009","-1.877"
"44","-1.669","-1.026","-1.000","-1.026","-1.904"
"45","-1.684","-1.038","-1.012","-1.038","-1.921"
"46","-1.694","-1.046","-1.021","-1.046","-1.934"
"47","-1.706","-1.053","-1.029","-1.053","-1.946"
"48","-1.712","-1.057","-1.033","-1.057","-1.954"
"49","-1.731","-1.070","-1.048","-1.070","-1.973"
"50","-1.731","-1.069","-1.047","-1.069","-1.973"
"51","-1.733","-1.070","-1.049","-1.070","-1.971"
"52","-1.728","-1.068","-1.047","-1.068","-1.965"
"53","-1.725","-1.066","-1.045","-1.066","-1.960"
"54","-1.715","-1.061","-1.040","-1.061","-1.950"
"55","-1.711","-1.059","-1.039","-1.059","-1.944"
"56","-1.702","-1.052","-1.032","-1.052","-1.934"
"57","-1.699","-1.050","-1.030","-1.050","-1.929"
"58","-1.685","-1.041","-1.021","-1.041","-1.913"
"59","-1.669","-1.031","-1.011","-1.031","-1.895"
"60","-1.650","-1.020","-1.000","-1.020","-1.873"
"61","-1.629","-1.008","-0.988","-1.008","-1.851"
"62","-1.611","-0.997","-0.978","-0.998","-1.830"
"63","-1.589","-0.984","-0.964","-0.984","-1.805"
"64","-1.565","-0.969","-0.949","-0.969","-1.779"
