"","A","T.A","S","T.M","M"
"1","0.0000","0.0000","0.0000","0.0000","0.0000"
"2","0.9752","0.8087","0.4805","0.8178","1.2062"
"3","3.2186","2.8177","1.3973","2.8576","3.8474"
"4","0.2202","0.1703","0.1192","0.1746","0.3175"
"5","4.2724","3.8507","1.0041","4.0211","5.6994"
"6","1.8237","1.5540","0.8230","1.5708","2.1873"
"7","0.5093","0.3931","0.3709","0.3992","0.6688"
"8","0.0935","0.0684","0.0663","0.0705","0.1252"
"9","2.2383","1.8614","0.4323","2.1269","4.3043"
"10","4.0978","3.6893","1.3826","3.8698","5.1121"
"11","2.4603","2.1043","1.1642","2.1021","2.9040"
"12","1.2955","1.0950","0.5389","1.1163","1.6102"
"13","0.9630","0.8354","0.3985","0.5628","0.9019"
"14","0.3648","0.2758","0.2743","0.2669","0.4558"
"15","0.1633","0.1024","0.2300","0.1021","0.2131"
"16","0.0532","0.0353","0.0542","0.0346","0.0419"
"17","1.1136","0.9292","0.2048","1.0639","2.5505"
"18","3.2839","2.8076","0.7491","3.2024","5.3201"
"19","4.5227","4.0599","1.4559","4.2910","5.7134"
"20","3.5660","3.2047","1.2088","3.3392","4.4366"
"21","3.0104","2.6652","1.1276","2.4430","3.3414"
"22","2.0990","1.8014","0.9137","1.8254","2.5259"
"23","1.5079","1.2643","0.7342","1.2872","1.8544"
"24","1.1099","0.9409","0.4531","0.9585","1.3995"
"25","0.8009","0.6573","0.3134","0.6695","1.0436"
"26","0.6298","0.4949","0.3935","0.4932","0.7772"
"27","0.4941","0.3548","0.4650","0.3098","0.5432"
"28","0.2758","0.2117","0.1558","0.2162","0.3828"
"29","0.4552","0.4038","0.2005","0.1251","0.2629"
"30","0.1601","0.1056","0.1939","0.0921","0.1656"
"31","0.0876","0.0393","0.2036","0.0355","0.0770"
"32","0.0403","0.0247","0.0515","0.0227","0.0103"
"33","0.9864","0.8259","0.1797","0.9459","2.3928"
"34","2.1091","1.7505","0.5130","1.9913","4.2337"
"35","3.2393","2.7001","0.9283","3.0266","5.3974"
"36","3.9548","3.5548","0.8330","4.0691","5.8998"
"37","4.6333","4.2089","1.1616","4.2928","5.8196"
"38","4.2338","3.8298","1.3033","4.0527","5.3655"
"39","3.7977","3.4181","1.3521","3.5810","4.7492"
"40","3.3351","2.9965","1.1380","3.1150","4.1410"
"41","2.8781","2.5373","1.0084","2.6138","3.5682"
"42","2.5588","2.2163","1.0705","2.2624","3.0968"
"43","2.2836","1.9397","1.1032","1.9315","2.6866"
"44","1.9048","1.6448","0.7494","1.6799","2.3372"
"45","1.8993","1.6638","0.7343","1.4111","2.0175"
"46","1.4387","1.2115","0.6682","1.2199","1.7431"
"47","1.2275","1.0188","0.6272","1.0357","1.5192"
"48","1.0403","0.8813","0.4235","0.8980","1.3178"
"49","0.8275","0.6995","0.3098","0.7165","1.1063"
"50","0.7721","0.6234","0.4018","0.6274","0.9583"
"51","0.7375","0.5552","0.5742","0.5095","0.8208"
"52","0.5332","0.4327","0.2540","0.4408","0.7090"
"53","0.7426","0.6256","0.3478","0.3437","0.6014"
"54","0.4157","0.3111","0.3186","0.3026","0.5079"
"55","0.3225","0.2302","0.2981","0.2336","0.4259"
"56","0.2477","0.1943","0.1271","0.2007","0.3567"
"57","0.1868","0.1332","0.0769","0.1371","0.2841"
"58","0.2061","0.1346","0.2270","0.1270","0.2304"
"59","0.2340","0.1363","0.3621","0.0853","0.1819"
"60","0.1117","0.0758","0.0932","0.0763","0.1391"
"61","0.3573","0.3226","0.1651","0.0406","0.1019"
"62","0.1080","0.0625","0.1770","0.0460","0.0647"
"63","0.0673","0.0229","0.1988","0.0175","0.0308"
"64","0.0364","0.0214","0.0508","0.0189","0.0000"
