"","A","T.A","S","T.M","M"
"1","0.00000","0.00000","0.000000","0.00000","0.0000"
"2","0.94984","0.60162","0.524428","0.60220","1.4529"
"3","0.73149","0.37549","0.097824","0.38048","1.7048"
"4","0.09483","0.04425","0.010949","0.04466","0.3165"
"5","0.22912","0.14464","0.026112","0.14566","0.9406"
"6","0.80772","0.54774","0.089157","0.55259","2.4135"
"7","0.22085","0.12531","0.023619","0.12678","0.6857"
"8","0.01442","0.00767","0.001280","0.00773","0.0919"
"9","0.15254","0.08928","0.012640","0.09018","1.0112"
"10","0.33774","0.24625","0.036128","0.25082","1.1875"
"11","0.75072","0.55299","0.072806","0.57096","2.4532"
"12","0.64161","0.41445","0.067090","0.42553","1.9858"
"13","0.32754","0.19725","0.034005","0.20170","1.0123"
"14","0.13520","0.07615","0.013359","0.07747","0.4692"
"15","0.03326","0.01797","0.003040","0.01826","0.1749"
"16","0.00234","0.00145","0.000143","0.00151","0.0213"
"17","0.17536","0.10394","0.012800","0.10726","1.4141"
"18","0.20241","0.13222","0.021504","0.13521","1.0356"
"19","0.30382","0.22001","0.031949","0.22738","1.1399"
"20","0.45414","0.33761","0.045714","0.35286","1.5932"
"21","0.61949","0.45986","0.059477","0.48503","2.1452"
"22","0.72495","0.52474","0.070051","0.55358","2.4174"
"23","0.69457","0.47833","0.070242","0.50003","2.2406"
"24","0.55842","0.36430","0.058095","0.37759","1.7652"
"25","0.37072","0.23015","0.038370","0.23773","1.1692"
"26","0.24413","0.14607","0.024819","0.15019","0.7967"
"27","0.15553","0.09057","0.015433","0.09300","0.5443"
"28","0.09504","0.05436","0.008838","0.05553","0.3697"
"29","0.05042","0.02824","0.004649","0.02886","0.2408"
"30","0.02461","0.01408","0.002162","0.01442","0.1435"
"31","0.00865","0.00522","0.000689","0.00542","0.0667"
"32","0.00000","0.00000","0.000000","0.00000","0.0000"
