"","A","T.A","S","T.M","M"
"1","3.843","3.843","3.843","3.843","3.843"
"2","2.062","1.522","1.473","1.522","2.369"
"3","0.902","0.595","0.582","0.596","1.185"
"4","2.929","1.879","1.742","1.880","3.584"
"5","0.592","0.341","0.323","0.341","0.995"
"6","1.462","0.975","0.936","0.975","1.778"
"7","2.496","1.609","1.499","1.609","3.029"
"8","3.127","1.985","1.781","1.986","3.975"
"9","0.498","0.254","0.231","0.254","0.967"
"10","0.705","0.438","0.419","0.439","1.058"
"11","1.208","0.803","0.772","0.803","1.528"
"12","1.706","1.118","1.061","1.118","2.057"
"13","2.231","1.432","1.339","1.432","2.705"
"14","2.693","1.706","1.569","1.707","3.333"
"15","3.085","1.939","1.748","1.940","3.907"
"16","3.073","1.944","1.726","1.945","3.965"
"17","0.638","0.310","0.279","0.310","1.293"
"18","0.612","0.339","0.317","0.339","1.102"
"19","0.706","0.426","0.405","0.426","1.105"
"20","0.835","0.535","0.513","0.536","1.184"
"21","1.031","0.679","0.652","0.679","1.350"
"22","1.247","0.826","0.791","0.826","1.563"
"23","1.485","0.978","0.931","0.978","1.813"
"24","1.749","1.142","1.078","1.142","2.112"
"25","2.174","1.396","1.303","1.396","2.636"
"26","2.443","1.555","1.438","1.555","2.985"
"27","2.657","1.687","1.548","1.687","3.285"
"28","2.840","1.787","1.627","1.788","3.551"
"29","2.978","1.871","1.688","1.872","3.766"
"30","3.054","1.920","1.716","1.921","3.897"
"31","3.058","1.928","1.710","1.929","3.939"
"32","2.997","1.893","1.673","1.895","3.892"
