"","A","T.A","S","T.M","M"
"1"," 0.00000"," 0.000000"," 0.000000"," 0.00000"," 0.00000"
"2","-0.21070","-0.082540","-0.070740","-0.08264","-0.53136"
"3","-0.17785","-0.045425","-0.015104","-0.04565","-0.74891"
"4","-0.04757","-0.012296","-0.004246","-0.01231","-0.12205"
"5","-0.06512","-0.026560","-0.002720","-0.02664","-0.10640"
"6","-0.11316","-0.045403","-0.004272","-0.04561","-0.82778"
"7","-0.05914","-0.020393","-0.002165","-0.02045","-0.29019"
"8","-0.01140","-0.003780","-0.000514","-0.00378","-0.02092"
"9","-0.04311","-0.018328","-0.001188","-0.01827","-0.00645"
"10","-0.08060","-0.035795","-0.002188","-0.03596","-0.42275"
"11","-0.11404","-0.049686","-0.003086","-0.04999","-0.91251"
"12","-0.09711","-0.038486","-0.002651","-0.03861","-0.68675"
"13","-0.07030","-0.025871","-0.001961","-0.02595","-0.40145"
"14","-0.04390","-0.015350","-0.001364","-0.01538","-0.19007"
"15","-0.01980","-0.006872","-0.000675","-0.00692","-0.05181"
"16","-0.00278","-0.000906","-0.000102","-0.00092","-0.00535"
"17","-0.03936","-0.017120","-0.000960","-0.01712"," 0.00272"
"18","-0.05667","-0.023879","-0.001478","-0.02406","-0.05219"
"19","-0.07492","-0.033702","-0.001932","-0.03399","-0.31019"
"20","-0.09352","-0.042120","-0.002358","-0.04254","-0.67217"
"21","-0.10581","-0.047200","-0.002613","-0.04773","-0.88304"
"22","-0.10833","-0.047639","-0.002846","-0.04817","-0.88181"
"23","-0.09962","-0.042290","-0.002574","-0.04269","-0.77392"
"24","-0.08752","-0.035714","-0.002148","-0.03596","-0.62703"
"25","-0.07224","-0.028309","-0.001863","-0.02846","-0.44627"
"26","-0.05873","-0.022207","-0.001578","-0.02228","-0.32797"
"27","-0.04645","-0.017021","-0.001327","-0.01706","-0.22171"
"28","-0.03503","-0.012778","-0.001001","-0.01288","-0.14162"
"29","-0.02507","-0.008976","-0.000704","-0.00907","-0.08432"
"30","-0.01614","-0.005635","-0.000493","-0.00570","-0.04034"
"31","-0.00819","-0.002748","-0.000327","-0.00275","-0.01530"
"32"," 0.00000"," 0.000000"," 0.000000"," 0.00000"," 0.00000"
