"","A","T.A","S","T.M","M"
"1"," 0.006138"," 6.14e-03"," 0.006138"," 6.14e-03"," 0.006138"
"2","-0.001860"," 1.80e-04"," 0.000540"," 1.80e-04","-0.006880"
"3","-0.008089","-7.92e-04","-0.000679","-7.92e-04","-0.008938"
"4"," 0.001012","-6.70e-04","-0.000294","-6.70e-04"," 0.005258"
"5"," 0.000240"," 2.22e-20","-0.000240"," 2.22e-20","-0.008240"
"6","-0.003302","-4.16e-04","-0.000508","-4.16e-04","-0.011085"
"7"," 0.002021","-3.94e-04","-0.000644","-3.94e-04"," 0.000859"
"8"," 0.002147","-7.26e-04","-0.001330","-7.26e-04"," 0.005896"
"9"," 0.000735"," 4.53e-04","-0.000226"," 4.53e-04","-0.004639"
"10","-0.001535","-1.11e-03","-0.001894","-1.11e-03","-0.015546"
"11","-0.004048","-1.32e-03","-0.001720","-1.32e-03","-0.017861"
"12","-0.000770","-1.07e-03","-0.001839","-1.07e-03","-0.008980"
"13"," 0.001772","-3.77e-05","-0.000830","-3.77e-05"," 0.002150"
"14"," 0.003821","-1.60e-03","-0.002081","-1.60e-03"," 0.002831"
"15"," 0.003467","-1.26e-03","-0.002071","-1.26e-03"," 0.007499"
"16"," 0.002614","-1.20e-03","-0.002249","-1.20e-03"," 0.005842"
"17","-0.000320"," 1.12e-03"," 0.000480"," 1.12e-03","-0.007040"
"18"," 0.001247","-1.89e-03","-0.002448","-1.89e-03","-0.007852"
"19","-0.002576","-1.43e-03","-0.002004","-1.43e-03","-0.014096"
"20","-0.002570","-8.16e-04","-0.001724","-8.16e-04","-0.009857"
"21","-0.002720","-1.55e-03","-0.002080","-1.55e-03","-0.007467"
"22","-0.002629","-1.23e-03","-0.001713","-1.23e-03","-0.016788"
"23","-0.000932","-1.02e-03","-0.001464","-1.02e-03","-0.013135"
"24"," 0.000351","-7.23e-04","-0.001549","-7.23e-04","-0.010782"
"25"," 0.002503"," 3.69e-04","-0.000369"," 3.69e-04","-0.002290"
"26"," 0.003377","-3.67e-05","-0.000697","-3.67e-05"," 0.002092"
"27"," 0.003614","-1.24e-03","-0.001693","-1.24e-03"," 0.002514"
"28"," 0.003403","-1.40e-03","-0.002068","-1.40e-03"," 0.003570"
"29"," 0.003984","-1.23e-03","-0.002064","-1.23e-03"," 0.007136"
"30"," 0.003972","-1.20e-03","-0.001971","-1.20e-03"," 0.006004"
"31"," 0.003699","-5.79e-04","-0.001708","-5.79e-04"," 0.003862"
"32"," 0.003362","-1.06e-03","-0.002012","-1.06e-03"," 0.005288"
