"","A","T.A","S","T.M","M"
"1","0.0000","0.0000","0.00000","0.0000"," 0.00000"
"2","0.3904","0.2660","0.26264","0.2660"," 0.37240"
"3","0.4160","0.1682","0.13944","0.1682"," 0.60081"
"4","0.2715","0.1088","0.08975","0.1088","-0.04726"
"5","0.4072","0.1377","0.08992","0.1377"," 0.65248"
"6","0.2881","0.1296","0.09127","0.1296"," 0.46299"
"7","0.4061","0.1537","0.10744","0.1537"," 0.13585"
"8","0.0763","0.0282","0.02047","0.0282","-0.02213"
"9","0.3084","0.1018","0.05646","0.1018"," 0.53582"
"10","0.4034","0.1409","0.08492","0.1409"," 0.66750"
"11","0.3006","0.1237","0.07949","0.1237"," 0.51249"
"12","0.3137","0.1357","0.08912","0.1357"," 0.43219"
"13","0.4063","0.1589","0.10216","0.1589"," 0.27277"
"14","0.3430","0.1187","0.07559","0.1187"," 0.00959"
"15","0.1491","0.0516","0.03354","0.0516","-0.04018"
"16","0.0147","0.0052","0.00371","0.0052","-0.00426"
"17","0.2946","0.0981","0.05344","0.0981"," 0.51424"
"18","0.3881","0.1299","0.07482","0.1299"," 0.65938"
"19","0.4171","0.1450","0.08594","0.1450"," 0.69744"
"20","0.3900","0.1432","0.08605","0.1432"," 0.64587"
"21","0.3316","0.1292","0.08112","0.1292"," 0.55621"
"22","0.2839","0.1206","0.07801","0.1206"," 0.48541"
"23","0.2833","0.1252","0.08152","0.1252"," 0.44806"
"24","0.3266","0.1398","0.09089","0.1398"," 0.41258"
"25","0.3999","0.1598","0.10264","0.1598"," 0.31219"
"26","0.4109","0.1532","0.09815","0.1532"," 0.18618"
"27","0.3686","0.1295","0.08219","0.1295"," 0.04717"
"28","0.2890","0.0992","0.06295","0.0992","-0.03633"
"29","0.2023","0.0697","0.04464","0.0697","-0.04912"
"30","0.1224","0.0427","0.02777","0.0427","-0.03424"
"31","0.0534","0.0189","0.01254","0.0189","-0.01420"
"32","0.0000","0.0000","0.00000","0.0000"," 0.00000"
