"","A","T.A","S","T.M","M"
"1","0.00000"," 0.00e+00"," 0.00e+00"," 0.00e+00"," 0.000000"
"2","0.01444"," 5.30e-03"," 4.28e-03"," 5.30e-03"," 0.011560"
"3","0.03779"," 1.31e-02"," 8.99e-03"," 1.31e-02"," 0.022627"
"4","0.00900"," 1.70e-03"," 2.45e-04"," 1.70e-03"," 0.003103"
"5","0.05280"," 1.06e-02","-6.08e-03"," 1.06e-02","-0.000240"
"6","0.03245"," 8.31e-04","-8.87e-03"," 8.31e-04"," 0.019768"
"7","0.01927"," 2.86e-03","-3.43e-03"," 2.86e-03"," 0.007871"
"8","0.00511","-3.93e-04","-7.56e-04","-3.93e-04"," 0.002086"
"9","0.03598"," 7.13e-03","-4.24e-03"," 7.13e-03","-0.032018"
"10","0.06127"," 1.37e-02","-7.09e-03"," 1.37e-02"," 0.026520"
"11","0.03410"," 4.10e-03","-8.20e-03"," 4.10e-03"," 0.023932"
"12","0.03079"," 2.87e-03","-6.11e-03"," 2.87e-03"," 0.015736"
"13","0.02138"," 2.90e-03","-4.15e-03"," 2.90e-03"," 0.008862"
"14","0.01511"," 3.41e-03","-2.05e-03"," 3.41e-03"," 0.006277"
"15","0.00662","-2.82e-04","-1.02e-03","-2.82e-04"," 0.000188"
"16","0.00178","-1.46e-04","-4.38e-05","-1.46e-04"," 0.001227"
"17","0.03296"," 6.72e-03","-4.16e-03"," 6.72e-03","-0.027680"
"18","0.04762"," 1.01e-02","-6.00e-03"," 1.01e-02","-0.014873"
"19","0.06046"," 1.32e-02","-7.16e-03"," 1.32e-02"," 0.024686"
"20","0.05349"," 1.55e-02","-8.10e-03"," 1.55e-02"," 0.024371"
"21","0.03717"," 8.48e-03","-8.64e-03"," 8.48e-03"," 0.021280"
"22","0.03143"," 2.07e-03","-9.31e-03"," 2.07e-03"," 0.020262"
"23","0.03142"," 1.86e-03","-7.63e-03"," 1.86e-03"," 0.019570"
"24","0.02815"," 3.14e-03","-5.49e-03"," 3.14e-03"," 0.013013"
"25","0.02260"," 3.22e-03","-4.39e-03"," 3.22e-03"," 0.010245"
"26","0.01971"," 3.08e-03","-3.56e-03"," 3.08e-03"," 0.009580"
"27","0.01535"," 2.86e-03","-2.34e-03"," 2.86e-03"," 0.007577"
"28","0.01231"," 2.64e-03","-1.57e-03"," 2.64e-03"," 0.003470"
"29","0.00850"," 5.76e-04","-8.96e-04"," 5.76e-04","-0.000896"
"30","0.00625","-2.77e-04","-9.85e-04","-2.77e-04"," 0.001909"
"31","0.00376"," 8.91e-05","-3.57e-04"," 8.91e-05"," 0.000654"
"32","0.00000"," 0.00e+00"," 0.00e+00"," 0.00e+00"," 0.000000"
